"Kod";"Nazwa";"rok;2023;[%]";
1206113;"Skawina (3)";54,47;
1206114;"Skawina - miasto (4)";100,00;
1206123;"Słomniki (3)";30,43;
1206124;"Słomniki - miasto (4)";100,00;
1206143;"Świątniki Górne (3)";21,44;
1206144;"Świątniki Górne - miasto (4)";100,00;
1207000;"Powiat limanowski";16,90;
1207011;"Limanowa (1)";100,00;
1207021;"Mszana Dolna (1)";100,00;
1208000;"Powiat miechowski";25,19;
1208043;"Książ Wielki (3)";17,38;
1208044;"Książ Wielki - miasto (4)";100,00;
1208053;"Miechów (3)";58,43;
1208054;"Miechów - miasto (4)";100,00;
1209000;"Powiat myślenicki";23,39;
1209013;"Dobczyce (3)";39,68;
1209014;"Dobczyce - miasto (4)";100,00;
1209033;"Myślenice (3)";38,96;
1209034;"Myślenice - miasto (4)";100,00;
1209073;"Sułkowice (3)";42,55;
1209074;"Sułkowice - miasto (4)";100,00;
1210000;"Powiat nowosądecki";15,84;
1210011;"Grybów (1)";100,00;
1210073;"Krynica-Zdrój (3)";61,46;
1210074;"Krynica-Zdrój - miasto (4)";100,00;
1210113;"Muszyna (3)";39,99;
1210114;"Muszyna - miasto (4)";100,00;
1210133;"Piwniczna-Zdrój (3)";54,17;
1210134;"Piwniczna-Zdrój - miasto (4)";100,00;
1210163;"Stary Sącz (3)";36,97;
1210164;"Stary Sącz - miasto (4)";100,00;
1211000;"Powiat nowotarski";28,50;
1211011;"Nowy Targ (1)";100,00;
1211023;"Szczawnica (3)";78,36;
1211024;"Szczawnica - miasto (4)";100,00;
1211033;"Czarny Dunajec (3)";16,59;
1211034;"Czarny Dunajec - miasto (4)";100,00;
1211123;"Rabka-Zdrój (3)";73,93;
1211124;"Rabka-Zdrój - miasto (4)";100,00;
1212000;"Powiat olkuski";47,00;
1212011;"Bukowno (1)";100,00;
1212053;"Olkusz (3)";70,70;
1212054;"Olkusz - miasto (4)";100,00;
1212073;"Wolbrom (3)";36,76;
1212074;"Wolbrom - miasto (4)";100,00;
1213000;"Powiat oświęcimski";51,15;
1213011;"Oświęcim (1)";100,00;
1213023;"Brzeszcze (3)";52,33;
1213024;"Brzeszcze - miasto (4)";100,00;
1213033;"Chełmek (3)";68,37;
1213034;"Chełmek - miasto (4)";100,00;
1213043;"Kęty (3)";53,11;
1213044;"Kęty - miasto (4)";100,00;
1213093;"Zator (3)";39,49;
1213094;"Zator - miasto (4)";100,00;
1214000;"Powiat proszowicki";19,30;
1214023;"Koszyce (3)";14,53;
1214024;"Koszyce - miasto (4)";100,00;
1214033;"Nowe Brzesko (3)";28,59;
1214034;"Nowe Brzesko - miasto (4)";100,00;
1214053;"Proszowice (3)";37,13;
1214054;"Proszowice - miasto (4)";100,00;
1215000;"Powiat suski";23,89;
1215011;"Jordanów (1)";100,00;
1215021;"Sucha Beskidzka (1)";100,00;
1215063;"Maków Podhalański (3)";35,15;
1215064;"Maków Podhalański - miasto (4)";100,00;
1216000;"Powiat tarnowski";11,58;
1216013;"Ciężkowice (3)";22,59;
1216014;"Ciężkowice - miasto (4)";100,00;
1216053;"Radłów (3)";28,74;
1216054;"Radłów - miasto (4)";100,00;
1216063;"Ryglice (3)";23,86;
1216064;"Ryglice - miasto (4)";100,00;
1216103;"Tuchów (3)";36,36;
1216104;"Tuchów - miasto (4)";100,00;
1216133;"Wojnicz (3)";24,03;
1216134;"Wojnicz - miasto (4)";100,00;
1216143;"Zakliczyn (3)";12,78;
1216144;"Zakliczyn - miasto (4)";100,00;
1216153;"Żabno (3)";22,29;
1216154;"Żabno - miasto (4)";100,00;
1217000;"Powiat tatrzański";37,91;
1217011;"Zakopane (1)";100,00;
1218000;"Powiat wadowicki";25,28;
1218013;"Andrychów (3)";43,65;
1218014;"Andrychów - miasto (4)";100,00;
1218033;"Kalwaria Zebrzydowska (3)";21,62;
1218034;"Kalwaria Zebrzydowska - miasto (4)";100,00;
1218093;"Wadowice (3)";47,14;
1218094;"Wadowice - miasto (4)";100,00;
1219000;"Powiat wielicki";31,09;
1219043;"Niepołomice (3)";50,66;
1219044;"Niepołomice - miasto (4)";100,00;
1219053;"Wieliczka (3)";40,41;
1219054;"Wieliczka - miasto (4)";100,00;
1261000;"Powiat m. Kraków";100,00;
1261011;"Kraków (1)";100,00;
1262000;"Powiat m. Nowy Sącz";100,00;
1262011;"Nowy Sącz (1)";100,00;
1263000;"Powiat m. Tarnów";100,00;
1263011;"Tarnów (1)";100,00;
1400000;"MAZOWIECKIE";64,64;
1401000;"Powiat białobrzeski";22,40;
1401013;"Białobrzegi (3)";65,61;
1401014;"Białobrzegi - miasto (4)";100,00;
1401063;"Wyśmierzyce (3)";32,81;
1401064;"Wyśmierzyce - miasto (4)";100,00;
1402000;"Powiat ciechanowski";52,28;
1402011;"Ciechanów (1)";100,00;
1402033;"Glinojeck (3)";39,14;
1402034;"Glinojeck - miasto (4)";100,00;
1403000;"Powiat garwoliński";28,35;
1403011;"Garwolin (1)";100,00;
1403021;"Łaskarzew (1)";100,00;
1403103;"Pilawa (3)";41,99;
1403104;"Pilawa - miasto (4)";100,00;
1403143;"Żelechów (3)";47,84;
1403144;"Żelechów - miasto (4)";100,00;
1404000;"Powiat gostyniński";44,29;
1404011;"Gostynin (1)";100,00;
1404043;"Sanniki (3)";30,70;
1404044;"Sanniki - miasto (4)";100,00;
1405000;"Powiat grodziski";51,97;
1405011;"Milanówek (1)";100,00;
1405021;"Podkowa Leśna (1)";100,00;
1405043;"Grodzisk Mazowiecki (3)";62,61;
1405044;"Grodzisk Mazowiecki - miasto (4)";100,00;
1406000;"Powiat grójecki";35,35;
1406053;"Grójec (3)";64,09;
1406054;"Grójec - miasto (4)";100,00;
1406073;"Mogielnica (3)";25,97;
1406074;"Mogielnica - miasto (4)";100,00;
1406083;"Nowe Miasto nad Pilicą (3)";49,00;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";100,00;
1406113;"Warka (3)";62,18;
1406114;"Warka - miasto (4)";100,00;
1407000;"Powiat kozienicki";27,17;
1407053;"Kozienice (3)";55,97;
1407054;"Kozienice - miasto (4)";100,00;
1408000;"Powiat legionowski";43,92;
1408011;"Legionowo (1)";100,00;
1408043;"Serock (3)";29,81;
1408044;"Serock - miasto (4)";100,00;
1409000;"Powiat lipski";18,63;
1409033;"Lipsko (3)";49,23;
1409034;"Lipsko - miasto (4)";100,00;
1409063;"Solec nad Wisłą (3)";20,43;
1409064;"Solec nad Wisłą - miasto (4)";100,00;
1410000;"Powiat łosicki";23,78;
1410023;"Łosice (3)";65,39;
1410024;"Łosice - miasto (4)";100,00;
1411000;"Powiat makowski";27,69;
1411011;"Maków Mazowiecki (1)";100,00;
1411073;"Różan (3)";61,86;
1411074;"Różan - miasto (4)";100,00;
1412000;"Powiat miński";47,05;
1412011;"Mińsk Mazowiecki (1)";100,00;
1412043;"Cegłów (3)";38,05;
1412044;"Cegłów - miasto (4)";100,00;
1412073;"Halinów (3)";20,56;
1412074;"Halinów - miasto (4)";100,00;
1412093;"Kałuszyn (3)";48,92;
1412094;"Kałuszyn - miasto (4)";100,00;
1412103;"Latowicz (3)";26,08;
1412104;"Latowicz - miasto (4)";100,00;
1412123;"Mrozy (3)";41,90;
1412124;"Mrozy - miasto (4)";100,00;
1412151;"Sulejówek (1)";100,00;
1413000;"Powiat mławski";44,59;
1413011;"Mława (1)";100,00;
1414000;"Powiat nowodworski";49,00;
1414011;"Nowy Dwór Mazowiecki (1)";100,00;
1414043;"Nasielsk (3)";38,00;
1414044;"Nasielsk - miasto (4)";100,00;
1414063;"Zakroczym (3)";53,31;
1414064;"Zakroczym - miasto (4)";100,00;
1415000;"Powiat ostrołęcki";3,64;
1415083;"Myszyniec (3)";31,97;
1415084;"Myszyniec - miasto (4)";100,00;
1416000;"Powiat ostrowski";34,00;
1416011;"Ostrów Mazowiecka (1)";100,00;
1416043;"Brok (3)";67,49;
1416044;"Brok - miasto (4)";100,00;
1417000;"Powiat otwocki";58,65;
1417011;"Józefów (1)";100,00;
1417021;"Otwock (1)";100,00;
1417043;"Karczew (3)";58,42;
1417044;"Karczew - miasto (4)";100,00;
1418000;"Powiat piaseczyński";39,68;
1418013;"Góra Kalwaria (3)";42,72;
1418014;"Góra Kalwaria - miasto (4)";100,00;
1418023;"Konstancin-Jeziorna (3)";67,34;
1418024;"Konstancin-Jeziorna - miasto (4)";100,00;
1418043;"Piaseczno (3)";53,42;
1418044;"Piaseczno - miasto (4)";100,00;
1418063;"Tarczyn (3)";34,85;
1418064;"Tarczyn - miasto (4)";100,00;
1419000;"Powiat płocki";9,38;
1419023;"Bodzanów (3)";14,46;
1419024;"Bodzanów - miasto (4)";100,00;
1419053;"Drobin (3)";36,10;
1419054;"Drobin - miasto (4)";100,00;
1419063;"Gąbin (3)";36,98;
1419064;"Gąbin - miasto (4)";100,00;
1419153;"Wyszogród (3)";46,26;
1419154;"Wyszogród - miasto (4)";100,00;
1420000;"Powiat płoński";35,61;
1420011;"Płońsk (1)";100,00;
1420021;"Raciąż (1)";100,00;
1420043;"Czerwińsk nad Wisłą (3)";13,73;
1420044;"Czerwińsk nad Wisłą - miasto (4)";100,00;
1420083;"Nowe Miasto (3)";33,30;
1420084;"Nowe Miasto - miasto (4)";100,00;
1420113;"Sochocin (3)";34,27;
1420114;"Sochocin - miasto (4)";100,00;
1421000;"Powiat pruszkowski";57,31;
1421011;"Piastów (1)";100,00;
1421021;"Pruszków (1)";100,00;
1421033;"Brwinów (3)";48,56;
1421034;"Brwinów - miasto (4)";100,00;
1422000;"Powiat przasnyski";39,26;
1422011;"Przasnysz (1)";100,00;
1422023;"Chorzele (3)";31,35;
1422024;"Chorzele - miasto (4)";100,00;
1423000;"Powiat przysuski";13,70;
1423063;"Przysucha (3)";48,88;
1423064;"Przysucha - miasto (4)";100,00;
1424000;"Powiat pułtuski";37,89;
1424043;"Pułtusk (3)";79,01;
1424044;"Pułtusk - miasto (4)";100,00;
1425000;"Powiat radomski";19,02;
1425011;"Pionki (1)";100,00;
1425033;"Iłża (3)";31,53;
1425034;"Iłża - miasto (4)";100,00;
1425063;"Jedlnia-Letnisko (3)";29,06;
1425064;"Jedlnia-Letnisko - miasto (4)";100,00;
1425103;"Skaryszew (3)";28,67;
1425104;"Skaryszew - miasto (4)";100,00;
1426000;"Powiat siedlecki";1,99;
1426053;"Mordy (3)";29,98;
1426054;"Mordy - miasto (4)";100,00;
1427000;"Powiat sierpecki";35,10;
1427011;"Sierpc (1)";100,00;
1428000;"Powiat sochaczewski";40,22;
1428011;"Sochaczew (1)";100,00;
1429000;"Powiat sokołowski";40,59;
1429011;"Sokołów Podlaski (1)";100,00;
1429053;"Kosów Lacki (3)";36,78;
1429054;"Kosów Lacki - miasto (4)";100,00;
1430000;"Powiat szydłowiecki";31,29;
1430023;"Jastrząb (3)";22,98;
1430024;"Jastrząb - miasto (4)";100,00;
1430053;"Szydłowiec (3)";61,33;
1430054;"Szydłowiec - miasto (4)";100,00;
1432000;"Powiat warszawski zachodni";34,04;
1432013;"Błonie (3)";54,29;
1432014;"Błonie - miasto (4)";100,00;
1432053;"Łomianki (3)";57,16;
1432054;"Łomianki - miasto (4)";100,00;
1432063;"Ożarów Mazowiecki (3)";49,54;
1432064;"Ożarów Mazowiecki - miasto (4)";100,00;
1433000;"Powiat węgrowski";29,70;
1433011;"Węgrów (1)";100,00;
1433053;"Łochów (3)";37,92;
1433054;"Łochów - miasto (4)";100,00;
1434000;"Powiat wołomiński";71,31;
1434011;"Kobyłka (1)";100,00;
1434021;"Marki (1)";100,00;
1434031;"Ząbki (1)";100,00;
1434041;"Zielonka (1)";100,00;
1434063;"Jadów (3)";12,85;
1434064;"Jadów - miasto (4)";100,00;
1434093;"Radzymin (3)";47,82;
1434094;"Radzymin - miasto (4)";100,00;
1434113;"Tłuszcz (3)";39,79;
1434114;"Tłuszcz - miasto (4)";100,00;
1434123;"Wołomin (3)";69,77;
1434124;"Wołomin - miasto (4)";100,00;
1435000;"Powiat wyszkowski";35,43;
1435053;"Wyszków (3)";66,15;
1435054;"Wyszków - miasto (4)";100,00;
1436000;"Powiat zwoleński";20,89;
1436053;"Zwoleń (3)";49,78;
1436054;"Zwoleń - miasto (4)";100,00;
1437000;"Powiat żuromiński";32,83;
1437013;"Bieżuń (3)";37,74;
1437014;"Bieżuń - miasto (4)";100,00;
1437033;"Lubowidz (3)";23,93;
1437034;"Lubowidz - miasto (4)";100,00;
1437063;"Żuromin (3)";63,46;
1437064;"Żuromin - miasto (4)";100,00;
1438000;"Powiat żyrardowski";61,38;
1438011;"Żyrardów (1)";100,00;
1438023;"Mszczonów (3)";53,84;
1438024;"Mszczonów - miasto (4)";100,00;
1438053;"Wiskitki (3)";14,48;
1438054;"Wiskitki - miasto (4)";100,00;
1461000;"Powiat m. Ostrołęka";100,00;
1461011;"Ostrołęka (1)";100,00;
1462000;"Powiat m. Płock";100,00;
1462011;"Płock (1)";100,00;
1463000;"Powiat m. Radom";100,00;
1463011;"Radom (1)";100,00;
1464000;"Powiat m. Siedlce";100,00;
1464011;"Siedlce (1)";100,00;
1465000;"Powiat m. st. Warszawa";100,00;
1465011;"M.st.Warszawa od 2002 (1)";100,00;
1465028;"Bemowo - dzielnica (8)";100,00;
1465038;"Białołęka - dzielnica (8)";100,00;
1465048;"Bielany - dzielnica (8)";100,00;
1465058;"Mokotów - dzielnica (8)";100,00;
1465068;"Ochota - dzielnica (8)";100,00;
1465078;"Praga-Południe - dzielnica (8)";100,00;
1465088;"Praga-Północ - dzielnica (8)";100,00;
1465098;"Rembertów - dzielnica (8)";100,00;
1465108;"Śródmieście - dzielnica (8)";100,00;
1465118;"Targówek - dzielnica (8)";100,00;
1465128;"Ursus - dzielnica (8)";100,00;
1465138;"Ursynów - dzielnica (8)";100,00;
1465148;"Wawer - dzielnica (8)";100,00;
1465158;"Wesoła - dzielnica (8)";100,00;
1465168;"Wilanów - dzielnica (8)";100,00;
1465178;"Włochy - dzielnica (8)";100,00;
1465188;"Wola - dzielnica (8)";100,00;
1465198;"Żoliborz - dzielnica (8)";100,00;
1600000;"OPOLSKIE";52,74;
1601000;"Powiat brzeski";54,43;
1601011;"Brzeg (1)";100,00;
1601033;"Grodków (3)";44,08;
1601034;"Grodków - miasto (4)";100,00;
1601043;"Lewin Brzeski (3)";44,95;
1601044;"Lewin Brzeski - miasto (4)";100,00;
1602000;"Powiat głubczycki";46,75;
1602013;"Baborów (3)";49,76;
1602014;"Baborów - miasto (4)";100,00;
1602033;"Głubczyce (3)";55,89;
1602034;"Głubczyce - miasto (4)";100,00;
1602043;"Kietrz (3)";55,04;
1602044;"Kietrz - miasto (4)";100,00;
1603000;"Powiat kędzierzyńsko-kozielski";63,12;
1603011;"Kędzierzyn-Koźle (1)";100,00;
1604000;"Powiat kluczborski";50,14;
1604013;"Byczyna (3)";39,09;
1604014;"Byczyna - miasto (4)";100,00;
1604023;"Kluczbork (3)";64,57;
1604024;"Kluczbork - miasto (4)";100,00;
1604043;"Wołczyn (3)";43,64;
1604044;"Wołczyn - miasto (4)";100,00;
1605000;"Powiat krapkowicki";53,41;
1605013;"Gogolin (3)";55,05;
1605014;"Gogolin - miasto (4)";100,00;
1605023;"Krapkowice (3)";71,02;
1605024;"Krapkowice - miasto (4)";100,00;
1605053;"Zdzieszowice (3)";72,05;
1605054;"Zdzieszowice - miasto (4)";100,00;
1606000;"Powiat namysłowski";40,01;
1606023;"Namysłów (3)";63,95;
1606024;"Namysłów - miasto (4)";100,00;
1607000;"Powiat nyski";52,96;
1607013;"Głuchołazy (3)";56,62;
1607014;"Głuchołazy - miasto (4)";100,00;
1607033;"Korfantów (3)";20,19;
1607034;"Korfantów - miasto (4)";100,00;
1607053;"Nysa (3)";75,71;
1607054;"Nysa - miasto (4)";100,00;
1607063;"Otmuchów (3)";48,52;
1607064;"Otmuchów - miasto (4)";100,00;
1607073;"Paczków (3)";57,92;
1607074;"Paczków - miasto (4)";100,00;
1608000;"Powiat oleski";35,94;
1608013;"Dobrodzień (3)";37,70;
1608014;"Dobrodzień - miasto (4)";100,00;
1608023;"Gorzów Śląski (3)";34,96;
1608024;"Gorzów Śląski - miasto (4)";100,00;
1608033;"Olesno (3)";52,56;
1608034;"Olesno - miasto (4)";100,00;
1608043;"Praszka (3)";55,27;
1608044;"Praszka - miasto (4)";100,00;
1609000;"Powiat opolski";16,54;
1609073;"Niemodlin (3)";46,61;
1609074;"Niemodlin - miasto (4)";100,00;
1609083;"Ozimek (3)";43,07;
1609084;"Ozimek - miasto (4)";100,00;
1609103;"Prószków (3)";28,50;
1609104;"Prószków - miasto (4)";100,00;
1609123;"Tułowice (3)";73,68;
1609124;"Tułowice - miasto (4)";100,00;
1610000;"Powiat prudnicki";51,85;
1610013;"Biała (3)";22,90;
1610014;"Biała - miasto (4)";100,00;
1610023;"Głogówek (3)";43,30;
1610024;"Głogówek - miasto (4)";100,00;
1610043;"Prudnik (3)";76,32;
1610044;"Prudnik - miasto (4)";100,00;
1611000;"Powiat strzelecki";43,37;
1611033;"Kolonowskie (3)";56,17;
1611034;"Kolonowskie - miasto (4)";100,00;
1611043;"Leśnica (3)";34,43;
1611044;"Leśnica - miasto (4)";100,00;
1611053;"Strzelce Opolskie (3)";58,50;
1611054;"Strzelce Opolskie - miasto (4)";100,00;
1611063;"Ujazd (3)";28,56;
1611064;"Ujazd - miasto (4)";100,00;
1611073;"Zawadzkie (3)";60,87;
1611074;"Zawadzkie - miasto (4)";100,00;
1661000;"Powiat m. Opole";100,00;
1661011;"Opole (1)";100,00;
1800000;"PODKARPACKIE";40,99;
1801000;"Powiat bieszczadzki";40,82;
1801083;"Ustrzyki Dolne (3)";51,62;
1801084;"Ustrzyki Dolne - miasto (4)";100,00;
1802000;"Powiat brzozowski";11,33;
1802013;"Brzozów (3)";27,66;
1802014;"Brzozów - miasto (4)";100,00;
1803000;"Powiat dębicki";38,21;
1803011;"Dębica (1)";100,00;
1803023;"Brzostek (3)";21,22;
1803024;"Brzostek - miasto (4)";100,00;
1803063;"Pilzno (3)";27,37;
1803064;"Pilzno - miasto (4)";100,00;
1804000;"Powiat jarosławski";37,85;
1804011;"Jarosław (1)";100,00;
1804021;"Radymno (1)";100,00;
1804073;"Pruchnik (3)";39,15;
1804074;"Pruchnik - miasto (4)";100,00;
1805000;"Powiat jasielski";31,32;
1805011;"Jasło (1)";100,00;
1805053;"Kołaczyce (3)";15,82;
1805054;"Kołaczyce - miasto (4)";100,00;
1806000;"Powiat kolbuszowski";13,89;
1806023;"Kolbuszowa (3)";35,09;
1806024;"Kolbuszowa - miasto (4)";100,00;
1807000;"Powiat krośnieński";11,58;
1807023;"Dukla (3)";14,23;
1807024;"Dukla - miasto (4)";100,00;
1807033;"Iwonicz-Zdrój (3)";15,06;
1807034;"Iwonicz-Zdrój - miasto (4)";100,00;
1807043;"Jedlicze (3)";37,09;
1807044;"Jedlicze - miasto (4)";100,00;
1807083;"Rymanów (3)";23,32;
1807084;"Rymanów - miasto (4)";100,00;
1808000;"Powiat leżajski";27,07;
1808011;"Leżajsk (1)";100,00;
1808053;"Nowa Sarzyna (3)";25,59;
1808054;"Nowa Sarzyna - miasto (4)";100,00;
1809000;"Powiat lubaczowski";34,10;
1809011;"Lubaczów (1)";100,00;
1809023;"Cieszanów (3)";26,94;
1809024;"Cieszanów - miasto (4)";100,00;
1809053;"Narol (3)";26,28;
1809054;"Narol - miasto (4)";100,00;
1809063;"Oleszyce (3)";46,29;
1809064;"Oleszyce - miasto (4)";100,00;
1810000;"Powiat łańcucki";21,90;
1810011;"Łańcut (1)";100,00;
1811000;"Powiat mielecki";46,77;
1811011;"Mielec (1)";100,00;
1811073;"Przecław (3)";15,16;
1811074;"Przecław - miasto (4)";100,00;
1811083;"Radomyśl Wielki (3)";23,94;
1811084;"Radomyśl Wielki - miasto (4)";100,00;
1812000;"Powiat niżański";34,86;
1812053;"Nisko (3)";68,12;
1812054;"Nisko - miasto (4)";100,00;
1812063;"Rudnik nad Sanem (3)";64,87;
1812064;"Rudnik nad Sanem - miasto (4)";100,00;
1812073;"Ulanów (3)";17,40;
1812074;"Ulanów - miasto (4)";100,00;
1813000;"Powiat przemyski";1,13;
1813023;"Dubiecko (3)";9,13;
1813024;"Dubiecko - miasto (4)";100,00;
1814000;"Powiat przeworski";25,65;
1814011;"Przeworsk (1)";100,00;
1814053;"Kańczuga (3)";24,86;
1814054;"Kańczuga - miasto (4)";100,00;
1814073;"Sieniawa (3)";29,76;
1814074;"Sieniawa - miasto (4)";100,00;
1815000;"Powiat ropczycko-sędziszowski";38,04;
1815033;"Ropczyce (3)";58,08;
1815034;"Ropczyce - miasto (4)";100,00;
1815043;"Sędziszów Małopolski (3)";51,95;
1815044;"Sędziszów Małopolski - miasto (4)";100,00;
1816000;"Powiat rzeszowski";19,27;
1816011;"Dynów (1)";100,00;
1816023;"Błażowa (3)";19,37;
1816024;"Błażowa - miasto (4)";100,00;
1816033;"Boguchwała (3)";28,54;
1816034;"Boguchwała - miasto (4)";100,00;
1816063;"Głogów Małopolski (3)";53,67;
1816064;"Głogów Małopolski - miasto (4)";100,00;
1816113;"Sokołów Małopolski (3)";25,08;
1816114;"Sokołów Małopolski - miasto (4)";100,00;
1816143;"Tyczyn (3)";39,59;
1816144;"Tyczyn - miasto (4)";100,00;
1817000;"Powiat sanocki";43,74;
1817011;"Sanok (1)";100,00;
1817073;"Zagórz (3)";38,83;
1817074;"Zagórz - miasto (4)";100,00;
1818000;"Powiat stalowowolski";57,40;
1818011;"Stalowa Wola (1)";100,00;
1818053;"Zaklików (3)";34,71;
1818054;"Zaklików - miasto (4)";100,00;
1819000;"Powiat strzyżowski";14,19;
1819043;"Strzyżów (3)";42,54;
1819044;"Strzyżów - miasto (4)";100,00;
1820000;"Powiat tarnobrzeski";23,12;
1820013;"Baranów Sandomierski (3)";12,34;
1820014;"Baranów Sandomierski - miasto (4)";100,00;
1820043;"Nowa Dęba (3)";60,93;
1820044;"Nowa Dęba - miasto (4)";100,00;
1821000;"Powiat leski";20,07;
1821033;"Lesko (3)";47,18;
1821034;"Lesko - miasto (4)";100,00;
1861000;"Powiat m. Krosno";100,00;
1861011;"Krosno (1)";100,00;
1862000;"Powiat m. Przemyśl";100,00;
1862011;"Przemyśl (1)";100,00;
1863000;"Powiat m. Rzeszów";100,00;
1863011;"Rzeszów (1)";100,00;
1864000;"Powiat m. Tarnobrzeg";100,00;
1864011;"Tarnobrzeg (1)";100,00;
2000000;"PODLASKIE";60,81;
2001000;"Powiat augustowski";57,02;
2001011;"Augustów (1)";100,00;
2001043;"Lipsk (3)";46,92;
2001044;"Lipsk - miasto (4)";100,00;
2002000;"Powiat białostocki";34,36;
2002013;"Choroszcz (3)";33,67;
2002014;"Choroszcz - miasto (4)";100,00;
2002023;"Czarna Białostocka (3)";80,61;
2002024;"Czarna Białostocka - miasto (4)";100,00;
2002063;"Łapy (3)";71,17;
2002064;"Łapy - miasto (4)";100,00;
2002073;"Michałowo (3)";46,98;
2002074;"Michałowo - miasto (4)";100,00;
2002093;"Supraśl (3)";23,86;
2002094;"Supraśl - miasto (4)";100,00;
2002103;"Suraż (3)";50,60;
2002104;"Suraż - miasto (4)";100,00;
2002123;"Tykocin (3)";32,59;
2002124;"Tykocin - miasto (4)";100,00;
2002133;"Wasilków (3)";60,93;
2002134;"Wasilków - miasto (4)";100,00;
2002143;"Zabłudów (3)";24,80;
2002144;"Zabłudów - miasto (4)";100,00;
2003000;"Powiat bielski";53,99;
2003011;"Bielsk Podlaski (1)";100,00;
2003021;"Brańsk (1)";100,00;
2004000;"Powiat grajewski";57,50;
2004011;"Grajewo (1)";100,00;
2004043;"Rajgród (3)";30,31;
2004044;"Rajgród - miasto (4)";100,00;
2004053;"Szczuczyn (3)";55,03;
2004054;"Szczuczyn - miasto (4)";100,00;
2005000;"Powiat hajnowski";51,59;
2005011;"Hajnówka (1)";100,00;
2005073;"Kleszczele (3)";50,07;
2005074;"Kleszczele - miasto (4)";100,00;
2006000;"Powiat kolneński";33,17;
2006011;"Kolno (1)";100,00;
2006053;"Stawiski (3)";36,21;
2006054;"Stawiski - miasto (4)";100,00;
2007000;"Powiat łomżyński";7,59;
2007013;"Jedwabne (3)";34,37;
2007014;"Jedwabne - miasto (4)";100,00;
2007043;"Nowogród (3)";54,10;
2007044;"Nowogród - miasto (4)";100,00;
2008000;"Powiat moniecki";36,96;
2008013;"Goniądz (3)";37,42;
2008014;"Goniądz - miasto (4)";100,00;
2008043;"Knyszyn (3)";59,26;
2008044;"Knyszyn - miasto (4)";100,00;
2008063;"Mońki (3)";67,70;
2008064;"Mońki - miasto (4)";100,00;
2009000;"Powiat sejneński";26,22;
2009011;"Sejny (1)";100,00;
2010000;"Powiat siemiatycki";37,25;
2010011;"Siemiatycze (1)";100,00;
2010023;"Drohiczyn (3)";30,78;
2010024;"Drohiczyn - miasto (4)";100,00;
2011000;"Powiat sokólski";42,88;
2011013;"Dąbrowa Białostocka (3)";49,72;
2011014;"Dąbrowa Białostocka - miasto (4)";100,00;
2011043;"Krynki (3)";79,32;
2011044;"Krynki - miasto (4)";100,00;
2011083;"Sokółka (3)";71,60;
2011084;"Sokółka - miasto (4)";100,00;
2011093;"Suchowola (3)";32,37;
2011094;"Suchowola - miasto (4)";100,00;
2013000;"Powiat wysokomazowiecki";33,49;
2013011;"Wysokie Mazowieckie (1)";100,00;
2013023;"Ciechanowiec (3)";54,86;
2013024;"Ciechanowiec - miasto (4)";100,00;
2013033;"Czyżew (3)";41,45;
2013034;"Czyżew - miasto (4)";100,00;
2013093;"Szepietowo (3)";31,55;
2013094;"Szepietowo - miasto (4)";100,00;
2014000;"Powiat zambrowski";50,39;
2014011;"Zambrów (1)";100,00;
2061000;"Powiat m. Białystok";100,00;
2061011;"Białystok (1)";100,00;
2062000;"Powiat m. Łomża";100,00;
2062011;"Łomża (1)";100,00;
2063000;"Powiat m. Suwałki";100,00;
2063011;"Suwałki (1)";100,00;
2200000;"POMORSKIE";62,32;
2201000;"Powiat bytowski";33,64;
2201023;"Bytów (3)";65,23;
2201024;"Bytów - miasto (4)";100,00;
2201063;"Miastko (3)";52,68;
2201064;"Miastko - miasto (4)";100,00;
2202000;"Powiat chojnicki";55,87;
2202011;"Chojnice (1)";100,00;
2202023;"Brusy (3)";35,50;
2202024;"Brusy - miasto (4)";100,00;
2202043;"Czersk (3)";46,34;
2202044;"Czersk - miasto (4)";100,00;
2203000;"Powiat człuchowski";44,11;
2203011;"Człuchów (1)";100,00;
2203023;"Czarne (3)";65,43;
2203024;"Czarne - miasto (4)";100,00;
2203043;"Debrzno (3)";56,99;
2203044;"Debrzno - miasto (4)";100,00;
2204000;"Powiat gdański";24,42;
2204011;"Pruszcz Gdański (1)";100,00;
2205000;"Powiat kartuski";13,33;
2205023;"Kartuzy (3)";40,16;
2205024;"Kartuzy - miasto (4)";100,00;
2205083;"Żukowo (3)";13,16;
2205084;"Żukowo - miasto (4)";100,00;
2206000;"Powiat kościerski";32,27;
2206011;"Kościerzyna (1)";100,00;
2207000;"Powiat kwidzyński";56,08;
2207011;"Kwidzyn (1)";100,00;
2207043;"Prabuty (3)";66,15;
2207044;"Prabuty - miasto (4)";100,00;
2208000;"Powiat lęborski";58,14;
2208011;"Lębork (1)";100,00;
2208021;"Łeba (1)";100,00;
2209000;"Powiat malborski";67,13;
2209011;"Malbork (1)";100,00;
2209073;"Nowy Staw (3)";56,69;
2209074;"Nowy Staw - miasto (4)";100,00;
2210000;"Powiat nowodworski";31,63;
2210011;"Krynica Morska (1)";100,00;
2210023;"Nowy Dwór Gdański (3)";56,09;
2210024;"Nowy Dwór Gdański - miasto (4)";100,00;
2211000;"Powiat pucki";27,37;
